label-coarse,text
OTHERS,How did serfdom develop in and then leave Russia ?
1,What films featured the character Popeye Doyle ?
OTHERS,How can I find a list of celebrities ' real names ?
1,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
2,What is the full form of .com ?
OTHERS,What contemptible scoundrel stole the cork from my lunch ?
OTHERS,What team did baseball 's St. Louis Browns become ?
OTHERS,What is the oldest profession ?
OTHERS,Name the scar-faced bounty hunter of The Old West .
4,When was Ozzy Osbourne born ?
OTHERS,Why do heavier objects travel downhill faster ?
OTHERS,Who was The Pride of the Yankees ?
OTHERS,Who killed Gandhi ?
1,What is considered the costliest disaster the insurance industry has ever faced ?
OTHERS,What did the only repealed amendment to the U.S. Constitution deal with ?
4,How many Jews were executed in concentration camps during WWII ?
OTHERS,What is `` Nine Inch Nails '' ?
OTHERS,What is an annotated bibliography ?
4,What is the date of Boxing Day ?
1,What articles of clothing are tokens in Monopoly ?
OTHERS,Name 11 famous martyrs .
OTHERS,What is the origin of the name ` Scarlett ' ?
1,What 's the second-most-used vowel in English ?
OTHERS,Who was the inventor of silly putty ?
5,What is the highest waterfall in the United States ?
1,Name a golf course in Myrtle Beach .
2,What does the abbreviation AIDS stand for ?
1,What does a spermologer collect ?
4,How many points make up a perfect fivepin bowling score ?
4,How many Community Chest cards are there in Monopoly ?
OTHERS,What do Mormons believe ?
4,When did the neanderthal man live ?
1,In what religion was Isis the nature goddess ?
5,Where do the adventures of `` The Swiss Family Robinson '' take place ?
1,What relative of the racoon is sometimes known as the cat-bear ?
OTHERS,How can I register my website in Yahoo for free ?
1,What was cash-conscious Colonel Edwin L. Drake the first to drill ?
4,How many people in the world speak French ?
4,How many inches over six feet is the Venus de Milo ?
OTHERS,How do they find or choose witnesses to an execution ?
OTHERS,What 1920s cowboy star rode Tony the Wonder Horse ?
1,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
OTHERS,What ISPs exist in the Caribbean ?
OTHERS,How do you ask a total stranger out on a date ?
1,What weapon is the mythological character Apollo most proficient with ?
5,What country do the Galapagos Islands belong to ?
OTHERS,What is ethology ?
OTHERS,Who was the prophet of the Muslim people ?
OTHERS,Where did the term `` 86ed '' come from ?
OTHERS,Who is Snoopy 's arch-enemy ?
OTHERS,What is the nature of learning ?
1,What 's the only color Johnny Cash wears on stage ?
1,What 's the term for a young fox ?
5,What U.S. state lived under six flags ?
OTHERS,What is the Kashmir issue ?
5,Where is the Loop ?
OTHERS,What does `` extended definition '' mean and how would one write a paper on it ?
5,What country 's capital is Tirana ?
OTHERS,What is titanium ?
OTHERS,Who do Herb and Tootsie live next door to ?
OTHERS,What is a caldera ?
OTHERS,Why do people get calluses ?
5,What are the names of the tourist attractions in Reims ?
OTHERS,What are Cushman and Wakefield known for ?
5,What body of water does the Danube River flow into ?
OTHERS,Who is the founder of Scientology ?
1,What does the six-footed Musca domestica become when it enters a house ?
OTHERS,What is the history of skateboarding ?
OTHERS,Who starred in Singing in the Rain and The Singing Nun ?
OTHERS,How do I make fuel bricks from recycled newspaper ?
OTHERS,What 19th-century painter died in the Marquesas Islands ?
1,The corpus callosum is in what part of the body ?
OTHERS,How do I log on to home page at Headquarters U.S. European Command ?
4,How many species of the Great White shark are there ?
OTHERS,What is the origin of head lice ?
5,What is the nickname for the state of Mississippi ?
4,How many villi are found in the small intestine ?
5,What country did King Wenceslas rule ?
1,What is a fear of shadows ?
OTHERS,Who were the five Marx brothers ?
4,In which year was New Zealand excluded from the ANZUS alliance ?
4,When did CNN begin broadcasting ?
OTHERS,What causes the body to shiver in cold temperatures ?
OTHERS,What are bear and bull markets ?
1,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
OTHERS,What is `` dew point '' ?
OTHERS,What is the meaning of Jesus ?
OTHERS,What company 's logo is a `` W '' in a circle ?
OTHERS,What is the definition of a cascade ?
4,When did Rococo painting and architecture flourish ?
5,What country 's national passenger rail system is called Via ?
OTHERS,Who invented Make-up ?
OTHERS,What is the origin of the word `` attic '' ?
1,What kind of animals were in the Paleozoic era ?
OTHERS,Which of the following was Rhodes Scholar ?
OTHERS,Who comprised the now-defunct comic book team known as the Champions ?
1,What is a female rabbit called ?
5,Where is the highest point in Japan ?
OTHERS,Where do chihuahuas come from ?
5,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
5,What are the world 's four oceans ?
1,What 's the only work by Michelangelo that bears his signature ?
1,What is the largest snake in the world ?
1,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
5,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
4,How much money does a back injury lawsuit get ?
1,What 's the common name for acetylsalicylic acid ?
OTHERS,What does the Georgetown `` Hoya '' mean ?
5,Where can I find a list of `` classic '' books 5th and 6th graders should read ?
1,Which two products use a tiger as their symbol ?
OTHERS,How is the election of a new Pope announced to the world ?
4,How long does it take for your blood to make one complete trip through the body ?
OTHERS,How do chickens have baby chicks ?
OTHERS,What is the historical relationship of Catholic Church and bingo ?
OTHERS,How was the element calcium named ?
OTHERS,What crooner joined The Andrews Sisters for Pistol Packin Mama ?
OTHERS,What piano company claims its product is the `` Instrument of the immortals '' ?
4,When did the Bounty mutiny take place ?
1,What novel inspired the movie BladeRunner ?
OTHERS,What is a transistor ?
1,What Hollywood dog died in the arms of Jean Harlow in 1932 ?
1,What are the most common elements in the Earth 's crust ?
4,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
OTHERS,What actress has received the most Oscar nominations ?
OTHERS,What are equity securities ?
OTHERS,What is gymnophobia ?
4,How many years do fossils take to form ?
5,Where is the Orinoco ?
